Voltage,Frequency,Impedance,Phase,Conductance,Susceptance,Resistance,Reactance
10 MV,10KHZ,252408.0,-4146520.0,9.9e+37,9.9e+37,43349.0,-33019.5
10 MV,10KHZ,54270.0,-37.2634,1.46281e-05,1.11669e-05,43185.3,-32931.6
10 MV,10KHZ,54385.8,-37.2346,1.46717e-05,1.11613e-05,43199.8,-32890.7
10 MV,10KHZ,54328.7,-37.4063,1.46824e-05,1.1138e-05,43150.5,-32851.4
10 MV,10KHZ,54222.9,-37.2975,1.46506e-05,1.11214e-05,43198.8,-32862.6
10 MV,10KHZ,54391.1,-37.1994,1.46527e-05,1.11726e-05,43294.2,-32880.7
10 MV,10KHZ,54275.3,-37.1964,1.46565e-05,1.11601e-05,43276.0,-32907.2
10 MV,10KHZ,54262.0,-37.2262,1.46888e-05,1.11188e-05,43177.0,-32837.1
10 MV,20KHZ,38521.2,-18916.1,2.09313e-05,1.02568e-05,38511.1,-18885.0
10 MV,20KHZ,42794.9,-26.0525,2.09274e-05,1.02879e-05,38446.4,-18907.7
10 MV,20KHZ,42819.7,-26.0645,2.09006e-05,1.03065e-05,38494.0,-18903.4
10 MV,20KHZ,42830.0,-26.1851,2.09802e-05,1.02747e-05,38448.2,-18810.0
10 MV,20KHZ,42863.6,-26.1636,2.09265e-05,1.02689e-05,38449.2,-18824.2
10 MV,20KHZ,42881.4,-26.097,2.09337e-05,1.02436e-05,38503.3,-18934.6
10 MV,20KHZ,42910.8,-26.1734,2.09424e-05,1.02714e-05,38494.2,-18883.9
10 MV,20KHZ,42848.5,-26.0868,2.09578e-05,1.02912e-05,38475.4,-18873.7
10 MV,30KHZ,39138.9,-20.2658,2.39685e-05,8.82482e-06,36726.8,-13514.6
10 MV,30KHZ,39161.0,-20.1885,2.3954e-05,8.78541e-06,36744.5,-13539.2
10 MV,30KHZ,39115.9,-20.2238,2.39724e-05,8.81221e-06,36768.9,-13535.3
10 MV,30KHZ,39131.4,-20.2592,2.39583e-05,8.82382e-06,36708.7,-13486.7
10 MV,30KHZ,39150.1,-20.2134,2.39722e-05,8.84184e-06,36696.2,-13453.0
10 MV,30KHZ,39145.8,-20.2047,2.39598e-05,8.81517e-06,36748.5,-13499.2
10 MV,30KHZ,39180.7,-20.2461,2.39512e-05,8.82844e-06,36768.2,-13512.7
10 MV,30KHZ,39119.9,-20.1546,2.39295e-05,8.82935e-06,36747.5,-13497.8
10 MV,40KHZ,37703.3,-16.6082,2.54976e-05,7.67185e-06,35946.6,-10195.6
10 MV,40KHZ,37404.3,-16.4269,2.57622e-05,7.693e-06,35828.9,-10729.3
10 MV,40KHZ,37594.0,-16.3993,2.5773e-05,7.53011e-06,35724.6,-10458.9
10 MV,40KHZ,37372.4,-16.8366,2.54698e-05,7.80303e-06,35937.8,-10844.6
10 MV,40KHZ,37598.2,-17.0169,2.57077e-05,7.47284e-06,35518.2,-10817.0
10 MV,40KHZ,37297.8,-16.4598,2.57648e-05,7.51041e-06,35883.3,-10869.3
10 MV,40KHZ,37503.6,-16.4233,2.54993e-05,7.56414e-06,35635.3,-10785.6
10 MV,40KHZ,37157.6,-16.4243,2.54817e-05,7.58526e-06,35899.3,-10708.7
10 MV,50KHZ,36325.0,-13.7677,2.6686e-05,6.56777e-06,35278.9,-8669.5
10 MV,50KHZ,36304.8,-13.7704,2.67338e-05,6.59131e-06,35362.1,-8612.88
10 MV,50KHZ,36428.8,-13.7033,2.666e-05,6.5911e-06,35262.8,-8720.34
10 MV,50KHZ,36384.0,-13.8131,2.66787e-05,6.54653e-06,35286.7,-8734.91
10 MV,50KHZ,36356.3,-13.9063,2.67083e-05,6.54614e-06,35303.2,-8679.82
10 MV,50KHZ,36315.1,-13.9074,2.67186e-05,6.55087e-06,35414.2,-8798.46
10 MV,50KHZ,36301.0,-13.8224,2.67446e-05,6.58477e-06,35355.1,-8718.67
10 MV,50KHZ,36330.4,-13.8793,2.66359e-05,6.53295e-06,35286.2,-8762.03
10 MV,60KHZ,35687.9,-11.8207,2.74116e-05,5.77634e-06,34873.2,-7260.75
10 MV,60KHZ,35816.7,-11.7993,2.73768e-05,5.82033e-06,34920.3,-7331.04
10 MV,60KHZ,35718.7,-11.9352,2.74207e-05,5.77776e-06,34893.0,-7350.03
10 MV,60KHZ,35694.6,-11.9385,2.73958e-05,5.75729e-06,35017.2,-7364.01
10 MV,60KHZ,35741.9,-12.0355,2.74564e-05,5.77728e-06,34953.8,-7370.16
10 MV,60KHZ,35745.3,-11.8465,2.73657e-05,5.78983e-06,34891.7,-7362.54
10 MV,60KHZ,35819.9,-11.9712,2.73966e-05,5.75615e-06,34973.5,-7355.55
10 MV,60KHZ,35787.9,-11.8837,2.73947e-05,5.7844e-06,34961.5,-7367.32
10 MV,70KHZ,34428.4,-6395.13,2.79134e-05,5.03168e-06,34654.2,-6315.33
10 MV,70KHZ,35282.8,-10.398,2.79726e-05,5.15962e-06,34533.1,-6081.68
10 MV,70KHZ,35087.5,-10.173,2.77947e-05,5.21306e-06,34718.3,-6093.85
10 MV,70KHZ,35144.6,-10.0077,2.80558e-05,5.04104e-06,34549.8,-6236.74
10 MV,70KHZ,35287.0,-9.76073,2.80162e-05,5.12825e-06,34834.6,-6301.61
10 MV,70KHZ,35324.7,-10.167,2.80223e-05,4.99388e-06,34354.2,-6120.31
10 MV,70KHZ,35382.5,-10.1481,2.78024e-05,5.00686e-06,34637.0,-6074.4
10 MV,70KHZ,35410.8,-10.1322,2.78614e-05,4.98851e-06,34746.6,-6025.48
10 MV,80KHZ,35208.7,-9.52439,2.82089e-05,4.38513e-06,34535.0,-5254.54
10 MV,80KHZ,34941.8,-8.8843,2.82311e-05,4.53055e-06,34635.0,-5792.11
10 MV,80KHZ,35095.7,-9.57418,2.80048e-05,4.59542e-06,34698.0,-5455.41
10 MV,80KHZ,35128.3,-8.70338,2.83954e-05,4.36794e-06,34513.4,-5512.04
10 MV,80KHZ,35093.2,-9.46018,2.79845e-05,4.78387e-06,34825.9,-5766.09
10 MV,80KHZ,35121.2,-8.85954,2.82963e-05,4.20218e-06,34526.0,-5293.79
10 MV,80KHZ,34964.8,-9.19918,2.81016e-05,4.69534e-06,34702.2,-5890.16
10 MV,80KHZ,35275.8,-9.34444,2.81729e-05,4.47572e-06,34608.4,-5191.95
10 MV,90KHZ,35003.2,-8.63738,2.82994e-05,4.24053e-06,34528.7,-5178.63
10 MV,90KHZ,34956.4,-8.58452,2.82838e-05,4.23954e-06,34526.8,-5157.48
10 MV,90KHZ,34929.3,-8.54787,2.82893e-05,4.25088e-06,34586.0,-5199.32
10 MV,90KHZ,34934.4,-8.50285,2.8308e-05,4.22181e-06,34595.4,-5185.44
10 MV,90KHZ,34925.8,-8.52902,2.83829e-05,4.26366e-06,34594.7,-5187.65
10 MV,90KHZ,34957.8,-8.59057,2.83463e-05,4.25708e-06,34532.9,-5143.44
10 MV,90KHZ,34980.9,-8.37527,2.82465e-05,4.22494e-06,34537.5,-5213.4
10 MV,90KHZ,34912.3,-8.61653,2.82354e-05,4.22886e-06,34605.2,-5165.24
10 MV,100KHZ,34526.4,-4398.86,2.84963e-05,3.62562e-06,34531.3,-4442.48
10 MV,100KHZ,34759.9,-7.26852,2.84673e-05,3.66404e-06,34569.9,-4440.14
10 MV,100KHZ,34841.4,-7.26941,2.84803e-05,3.6369e-06,34509.9,-4411.2
10 MV,100KHZ,34790.4,-7.17526,2.84701e-05,3.62911e-06,34506.5,-4419.71
10 MV,100KHZ,34862.6,-7.31136,2.84696e-05,3.65529e-06,34527.8,-4396.38
10 MV,100KHZ,34881.3,-7.27967,2.85235e-05,3.64332e-06,34517.9,-4387.45
10 MV,100KHZ,34795.4,-7.2637,2.84958e-05,3.66511e-06,34539.5,-4402.85
10 MV,100KHZ,34825.1,-7.29834,2.84571e-05,3.61302e-06,34548.4,-4357.63
10 MV,110KHZ,34875.9,-5.89869,2.87193e-05,3.0201e-06,34715.9,-3530.96
10 MV,110KHZ,34590.1,-6.01774,2.85195e-05,2.93529e-06,34456.3,-3610.85
10 MV,110KHZ,34834.2,-5.82649,2.86534e-05,3.01218e-06,34563.4,-3556.63
10 MV,110KHZ,34787.1,-5.9311,2.86662e-05,2.9645e-06,34716.5,-3567.36
10 MV,110KHZ,34621.2,-5.99739,2.84608e-05,2.89621e-06,34379.6,-3663.18
10 MV,110KHZ,34935.8,-5.81085,2.8705e-05,3.03327e-06,34685.6,-3542.95
10 MV,110KHZ,34716.9,-5.93307,2.86202e-05,2.9801e-06,34650.9,-3563.84
10 MV,110KHZ,34805.6,-5.89,2.85207e-05,2.91714e-06,34431.2,-3635.71
10 MV,120KHZ,34793.0,-5.86135,2.85651e-05,2.94242e-06,34531.6,-3591.86
10 MV,120KHZ,34896.5,-5.85659,2.87331e-05,3.02673e-06,34712.1,-3551.71
10 MV,120KHZ,34591.4,-6.02108,2.85031e-05,2.90898e-06,34467.5,-3625.04
10 MV,120KHZ,34866.3,-5.79309,2.86298e-05,2.97571e-06,34539.0,-3569.25
10 MV,120KHZ,34850.5,-5.8959,2.86833e-05,2.99288e-06,34756.0,-3543.95
10 MV,120KHZ,34594.9,-6.00635,2.849e-05,2.89502e-06,34442.4,-3635.38
10 MV,120KHZ,34885.3,-5.8538,2.86545e-05,3.03612e-06,34636.5,-3540.28
10 MV,120KHZ,34793.7,-5.88759,2.86399e-05,2.96154e-06,34686.4,-3566.4
10 MV,130KHZ,34788.2,-5.60611,2.86021e-05,2.82805e-06,34611.6,-3401.34
10 MV,130KHZ,34772.8,-5.59002,2.85933e-05,2.85046e-06,34611.7,-3405.0
10 MV,130KHZ,34791.1,-5.62973,2.86274e-05,2.82242e-06,34577.7,-3434.09
10 MV,130KHZ,34798.9,-5.63841,2.86102e-05,2.84136e-06,34629.4,-3408.66
10 MV,130KHZ,34788.0,-5.67129,2.86031e-05,2.84511e-06,34624.3,-3402.81
10 MV,130KHZ,34788.9,-5.65937,2.85856e-05,2.82978e-06,34599.9,-3439.9
10 MV,130KHZ,34784.3,-5.68965,2.86128e-05,2.81789e-06,34632.3,-3413.81
10 MV,130KHZ,34807.0,-5.5939,2.86046e-05,2.81968e-06,34600.3,-3403.79
10 MV,140KHZ,34890.4,-4.61121,2.85843e-05,2.26345e-06,34750.3,-2778.84
10 MV,140KHZ,34907.9,-4.51656,2.85594e-05,2.27442e-06,34801.8,-2766.81
10 MV,140KHZ,34930.0,-4.51245,2.85653e-05,2.26678e-06,34770.1,-2748.89
10 MV,140KHZ,34899.1,-4.56361,2.85376e-05,2.25536e-06,34770.6,-2765.36
10 MV,140KHZ,34908.2,-4.5614,2.85782e-05,2.23845e-06,34787.2,-2734.31
10 MV,140KHZ,34909.6,-4.52959,2.85925e-05,2.24757e-06,34826.8,-2750.14
10 MV,140KHZ,34872.6,-4.48621,2.85712e-05,2.26993e-06,34770.5,-2779.44
10 MV,140KHZ,34917.9,-4.54181,2.85703e-05,2.25871e-06,34803.7,-2744.39
10 MV,150KHZ,34909.3,-4.56546,2.85737e-05,2.29535e-06,34766.7,-2731.04
10 MV,150KHZ,34935.3,-4.52478,2.85796e-05,2.2546e-06,34779.7,-2753.56
10 MV,150KHZ,34861.8,-4.55399,2.8597e-05,2.24527e-06,34808.0,-2762.14
10 MV,150KHZ,34857.6,-4.44299,2.85812e-05,2.22802e-06,34764.9,-2749.49
10 MV,150KHZ,34924.1,-4.45511,2.8604e-05,2.23095e-06,34821.6,-2749.04
10 MV,150KHZ,34887.5,-4.5141,2.8529e-05,2.28781e-06,34776.7,-2751.56
10 MV,150KHZ,34866.2,-4.51701,2.85444e-05,2.26929e-06,34778.8,-2750.88
10 MV,150KHZ,34874.1,-4.55462,2.85717e-05,2.23884e-06,34796.1,-2731.02
10 MV,160KHZ,34722.7,-4.31211,2.82643e-05,2.19265e-06,35106.6,-2357.09
10 MV,160KHZ,34649.2,-4.02996,2.85902e-05,2.28257e-06,35306.0,-2632.68
10 MV,160KHZ,34932.9,-3.93776,2.88508e-05,2.13934e-06,34931.4,-2732.6
10 MV,160KHZ,35259.2,-4.02346,2.87784e-05,1.94661e-06,34642.0,-2660.62
10 MV,160KHZ,35330.8,-4.36369,2.84943e-05,1.93652e-06,34492.3,-2482.91
10 MV,160KHZ,35024.8,-4.42899,2.81947e-05,2.02366e-06,34719.2,-2349.42
10 MV,160KHZ,34723.2,-4.23486,2.82542e-05,2.22415e-06,35116.5,-2361.15
10 MV,160KHZ,34608.8,-4.02126,2.85666e-05,2.27746e-06,35315.3,-2651.51
10 MV,170KHZ,35038.2,-4.01156,2.84617e-05,1.99158e-06,34953.9,-2438.28
10 MV,170KHZ,35053.4,-4.00381,2.84575e-05,1.97763e-06,34942.9,-2430.58
10 MV,170KHZ,35052.3,-4.00153,2.84788e-05,1.97603e-06,34936.1,-2437.2
10 MV,170KHZ,35026.9,-3.99636,2.84446e-05,1.95443e-06,34944.0,-2423.2
10 MV,170KHZ,35050.8,-3.94048,2.84639e-05,1.97193e-06,34957.4,-2427.58
10 MV,170KHZ,35062.9,-3.96565,2.84701e-05,1.97883e-06,34956.4,-2423.51
10 MV,170KHZ,35038.7,-4.00569,2.84478e-05,1.98302e-06,34961.0,-2414.28
10 MV,170KHZ,35045.4,-3.97568,2.84662e-05,1.96979e-06,34944.4,-2439.6
10 MV,180KHZ,34961.4,-2418.88,2.84798e-05,1.98783e-06,34943.7,-2435.51
10 MV,180KHZ,35052.8,-4.0228,2.84631e-05,1.98213e-06,34975.9,-2424.23
10 MV,180KHZ,35039.1,-3.98216,2.84664e-05,1.99384e-06,34978.9,-2402.78
10 MV,180KHZ,35037.4,-3.99106,2.84899e-05,1.98972e-06,34980.1,-2424.61
10 MV,180KHZ,35013.7,-3.99741,2.84731e-05,1.96834e-06,34975.5,-2428.75
10 MV,180KHZ,35044.5,-3.98445,2.84574e-05,1.96703e-06,34958.1,-2409.76
10 MV,180KHZ,35025.1,-3.98848,2.84732e-05,1.97209e-06,34984.9,-2426.49
10 MV,180KHZ,35044.1,-3.9784,2.84603e-05,1.98379e-06,34970.6,-2459.68
10 MV,190KHZ,35338.9,-2203.45,2.81031e-05,1.67206e-06,35430.0,-1844.25
10 MV,190KHZ,35283.1,-2.76853,2.83344e-05,1.6888e-06,35476.6,-2040.68
10 MV,190KHZ,35573.9,-2.99006,2.83419e-05,1.4948e-06,35241.7,-2073.45
10 MV,190KHZ,35472.9,-3.5573,2.80141e-05,1.44854e-06,35264.2,-1908.18
10 MV,190KHZ,34843.7,-3.51346,2.82617e-05,1.68457e-06,35468.0,-1819.67
10 MV,190KHZ,35332.6,-2.76446,2.83229e-05,1.68923e-06,35456.1,-1985.59
10 MV,190KHZ,35551.3,-2.99317,2.83075e-05,1.54576e-06,35293.7,-2102.63
10 MV,190KHZ,35504.0,-3.49384,2.81072e-05,1.45479e-06,35236.5,-1929.06
10 MV,200KHZ,35557.3,-2.86492,2.83264e-05,1.55184e-06,35251.6,-2044.49
10 MV,200KHZ,35499.3,-3.45786,2.81798e-05,1.46357e-06,35207.8,-1901.11
10 MV,200KHZ,35227.0,-3.5287,2.81165e-05,1.5673e-06,35377.1,-1830.87
10 MV,200KHZ,35269.4,-2.86725,2.82527e-05,1.67181e-06,35452.4,-1964.98
10 MV,200KHZ,35550.4,-2.82808,2.83686e-05,1.54435e-06,35271.1,-2104.99
10 MV,200KHZ,35491.8,-3.43527,2.81309e-05,1.42065e-06,35198.4,-1990.84
10 MV,200KHZ,35274.0,-3.65351,2.80853e-05,1.54315e-06,35355.1,-1830.05
10 MV,200KHZ,35219.5,-2.92587,2.82215e-05,1.6812e-06,35533.7,-1943.42
10 MV,210KHZ,35405.9,-2.81685,2.83432e-05,1.67874e-06,35341.9,-2137.52
10 MV,210KHZ,35611.0,-3.15293,2.82635e-05,1.47008e-06,35196.3,-2068.32
10 MV,210KHZ,35447.8,-3.71053,2.81179e-05,1.47432e-06,35305.4,-1870.35
10 MV,210KHZ,35241.4,-3.33397,2.82048e-05,1.85373e-06,35517.3,-2009.48
10 MV,210KHZ,35368.2,-2.77453,2.83396e-05,1.67861e-06,35384.5,-2042.43
10 MV,210KHZ,35547.6,-3.02397,2.8289e-05,1.48641e-06,35199.6,-2074.99
10 MV,210KHZ,35456.3,-3.60469,2.80562e-05,1.51014e-06,35258.4,-1900.1
10 MV,210KHZ,35199.0,-3.40629,2.8113e-05,1.60876e-06,35498.3,-1822.4
10 MV,220KHZ,35482.0,-2.72624,2.83598e-05,1.60747e-06,35297.7,-2094.29
10 MV,220KHZ,35661.9,-3.38229,2.8184e-05,1.50749e-06,35177.8,-1968.72
10 MV,220KHZ,35328.5,-3.58249,2.80593e-05,1.52401e-06,35396.7,-1826.42
10 MV,220KHZ,35256.7,-2.99369,2.81613e-05,1.66342e-06,35485.9,-1929.47
10 MV,220KHZ,35428.0,-2.69049,2.83732e-05,1.60483e-06,35331.0,-2098.81
10 MV,220KHZ,35604.2,-3.33887,2.81863e-05,1.4737e-06,35184.9,-1963.76
10 MV,220KHZ,35342.1,-3.55191,2.80732e-05,1.53638e-06,35339.1,-1834.72
10 MV,220KHZ,35270.6,-3.17524,2.81743e-05,1.65301e-06,35489.6,-1868.41
10 MV,230KHZ,36130.4,-2.57447,2.76939e-05,6.06566e-07,35354.2,-2679.91
10 MV,230KHZ,36033.0,-1.19558,2.82894e-05,1.71042e-06,36450.4,-1644.02
10 MV,230KHZ,35835.9,-2.64598,2.77514e-05,1.93292e-06,35731.2,-944.687
10 MV,230KHZ,35838.2,-2.65488,2.75266e-05,9.51945e-07,35336.0,-1569.49
10 MV,230KHZ,36111.1,-2.43815,2.78964e-05,5.68647e-07,35641.5,-2630.45
10 MV,230KHZ,36222.3,-1.00055,2.82285e-05,1.88597e-06,36372.1,-1510.82
10 MV,230KHZ,35697.0,-2.87491,2.77789e-05,1.83403e-06,36168.5,-627.67
10 MV,230KHZ,35665.8,-3.93647,2.74022e-05,6.68867e-07,35292.7,-1701.7
10 MV,240KHZ,35527.9,-3.27823,2.76075e-05,1.68552e-06,35938.8,-665.199
10 MV,240KHZ,35571.6,-3.99618,2.7452e-05,4.24023e-07,35248.2,-2139.57
10 MV,240KHZ,36178.3,-1.72218,2.81388e-05,9.27517e-07,35719.5,-2464.24
10 MV,240KHZ,36076.6,-1.39743,2.82355e-05,2.05413e-06,36522.5,-1004.57
10 MV,240KHZ,35610.5,-3.46105,2.75393e-05,1.61247e-06,35812.1,-760.64
10 MV,240KHZ,35665.4,-3.8963,2.74932e-05,5.13547e-07,35377.2,-2193.21
10 MV,240KHZ,36273.8,-1.61673,2.81872e-05,9.05276e-07,35842.7,-2453.33
10 MV,240KHZ,36034.3,-1.38855,2.81538e-05,2.13536e-06,36211.6,-958.676
10 MV,250KHZ,36033.5,-2.4034,2.77659e-05,1.23404e-06,36035.4,-1594.93
10 MV,250KHZ,36077.0,-2.36966,2.77021e-05,1.2367e-06,36016.6,-1652.25
10 MV,250KHZ,36016.2,-2.38595,2.76618e-05,1.21443e-06,35973.3,-1608.63
10 MV,250KHZ,36073.6,-2.45064,2.77715e-05,1.19825e-06,35988.2,-1627.39
10 MV,250KHZ,35995.2,-2.41681,2.77568e-05,1.21723e-06,36041.4,-1640.57
10 MV,250KHZ,36006.8,-2.43344,2.77095e-05,1.18019e-06,36033.3,-1601.42
10 MV,250KHZ,35999.5,-2.48158,2.77186e-05,1.12657e-06,36091.9,-1666.4
10 MV,250KHZ,36095.7,-2.41218,2.77612e-05,1.10368e-06,35974.9,-1600.42
10 MV,260KHZ,36042.0,-2.5339,2.77358e-05,1.24202e-06,36010.4,-1653.7
10 MV,260KHZ,35998.2,-2.55834,2.76888e-05,1.22045e-06,36024.8,-1577.97
10 MV,260KHZ,36018.8,-2.56687,2.77246e-05,1.29955e-06,35972.0,-1524.74
10 MV,260KHZ,36147.4,-2.51766,2.77073e-05,1.13435e-06,36069.7,-1552.44
10 MV,260KHZ,36046.9,-2.51546,2.77235e-05,1.29383e-06,36059.4,-1601.71
10 MV,260KHZ,36016.8,-2.49016,2.76936e-05,1.20977e-06,36010.4,-1516.46
10 MV,260KHZ,36017.1,-2.51134,2.77576e-05,1.18997e-06,35993.6,-1564.16
10 MV,260KHZ,35986.9,-2.56926,2.77696e-05,1.23588e-06,36012.4,-1552.44
10 MV,270KHZ,36035.1,-2.53543,2.76825e-05,1.18631e-06,35957.6,-1488.26
10 MV,270KHZ,36002.8,-2.67032,2.77089e-05,1.16561e-06,35967.5,-1604.84
10 MV,270KHZ,36019.3,-2.54909,2.7778e-05,1.20982e-06,36041.8,-1569.07
10 MV,270KHZ,35988.3,-2.48323,2.76963e-05,1.19329e-06,35922.3,-1485.07
10 MV,270KHZ,36002.1,-2.54177,2.77293e-05,1.16815e-06,35955.4,-1467.19
10 MV,270KHZ,35969.8,-2.57254,2.77763e-05,1.19691e-06,35942.1,-1499.72
10 MV,270KHZ,36080.1,-2.64937,2.7743e-05,1.24559e-06,36065.8,-1544.72
10 MV,270KHZ,36071.1,-2.58539,2.77307e-05,1.17908e-06,36068.4,-1546.53
10 MV,280KHZ,36798.0,-2.07269,2.72117e-05,9.79831e-07,36743.1,-1355.4
10 MV,280KHZ,36750.0,-2.15583,2.72135e-05,1.0251e-06,36761.0,-1334.4
10 MV,280KHZ,36774.8,-2.0982,2.7164e-05,1.00181e-06,36694.0,-1352.01
10 MV,280KHZ,36787.4,-2.11641,2.72132e-05,1.01323e-06,36747.4,-1382.72
10 MV,280KHZ,36679.7,-2.08459,2.72108e-05,1.0089e-06,36752.1,-1307.57
10 MV,280KHZ,36709.5,-2.04178,2.72198e-05,1.03291e-06,36726.4,-1337.84
10 MV,280KHZ,36777.2,-2.12715,2.71761e-05,9.70475e-07,36777.8,-1428.08
10 MV,280KHZ,36733.4,-2.18136,2.71942e-05,9.82937e-07,36690.3,-1340.9
10 MV,290KHZ,36687.9,-2.17658,2.72193e-05,9.73056e-07,36719.1,-1323.64
10 MV,290KHZ,36762.7,-2.10323,2.72156e-05,1.0059e-06,36676.4,-1329.83
10 MV,290KHZ,36773.7,-2.21667,2.71642e-05,9.99537e-07,36671.7,-1304.17
10 MV,290KHZ,36766.3,-1.9867,2.71664e-05,9.37431e-07,36723.5,-1357.69
10 MV,290KHZ,36800.5,-2.10854,2.7175e-05,1.0272e-06,36723.1,-1383.93
10 MV,290KHZ,36756.4,-2.16256,2.71833e-05,9.90971e-07,36672.1,-1316.25
10 MV,290KHZ,36732.2,-2.12072,2.71696e-05,9.88523e-07,36742.7,-1349.44
10 MV,290KHZ,36734.0,-2.12266,2.71814e-05,9.9943e-07,36703.9,-1404.31
10 MV,300KHZ,36785.9,-2.08047,2.7163e-05,1.01091e-06,36754.8,-1366.47
10 MV,300KHZ,36793.1,-2.10721,2.71838e-05,1.01171e-06,36741.1,-1396.41
10 MV,300KHZ,36761.8,-2.08224,2.72072e-05,9.67544e-07,36710.4,-1329.75
10 MV,300KHZ,36777.1,-2.12302,2.71657e-05,1.03254e-06,36786.9,-1320.33
10 MV,300KHZ,36753.8,-2.08304,2.72174e-05,9.97593e-07,36766.3,-1340.06
10 MV,300KHZ,36774.8,-2.1278,2.72051e-05,9.98898e-07,36758.1,-1281.25
10 MV,300KHZ,36759.6,-2.08612,2.71501e-05,9.89846e-07,36816.3,-1373.45
10 MV,300KHZ,36782.5,-2.09714,2.72012e-05,9.36891e-07,36776.0,-1330.22
10 MV,310KHZ,36745.4,-2.11324,2.72138e-05,1.01015e-06,36725.7,-1296.78
10 MV,310KHZ,36765.9,-2.03791,2.71926e-05,1.0059e-06,36763.1,-1374.34
10 MV,310KHZ,36773.0,-2.03518,2.72202e-05,9.82886e-07,36781.8,-1289.62
10 MV,310KHZ,36734.5,-2.10637,2.72177e-05,9.6125e-07,36787.6,-1367.13
10 MV,310KHZ,36790.7,-2.06093,2.71849e-05,1.0258e-06,36732.4,-1359.81
10 MV,310KHZ,36703.4,-1.99144,2.72005e-05,1.00779e-06,36742.5,-1302.44
10 MV,310KHZ,36746.4,-2.08921,2.71959e-05,1.00818e-06,36755.3,-1353.53
10 MV,310KHZ,36763.9,-2.16183,2.71858e-05,9.99899e-07,36759.8,-1367.37
10 MV,320KHZ,36985.6,-1.94728,2.69756e-05,1.00382e-06,36947.9,-1282.71
10 MV,320KHZ,36961.8,-2.24695,2.69855e-05,9.52596e-07,37045.9,-1379.07
10 MV,320KHZ,37059.2,-1.85454,2.70613e-05,1.06534e-06,37104.9,-1344.0
10 MV,320KHZ,37004.1,-1.89586,2.69014e-05,9.82518e-07,37015.3,-1282.02
10 MV,320KHZ,37004.9,-2.168,2.68998e-05,9.2067e-07,37024.9,-1319.49
10 MV,320KHZ,37234.6,-1.83335,2.70065e-05,9.87382e-07,37117.7,-1346.24
10 MV,320KHZ,37019.0,-2.01449,2.69802e-05,9.54973e-07,37022.7,-1338.15
10 MV,320KHZ,37027.3,-2.26269,2.69352e-05,9.19332e-07,37055.7,-1257.38
10 MV,330KHZ,37235.3,-1.93646,2.67778e-05,9.03354e-07,37316.5,-1277.64
10 MV,330KHZ,37257.5,-2.06595,2.68092e-05,9.37498e-07,37324.4,-1321.4
10 MV,330KHZ,37267.0,-1.90882,2.68279e-05,9.75111e-07,37214.3,-1204.08
10 MV,330KHZ,37256.3,-2.0364,2.67559e-05,9.30394e-07,37294.7,-1282.72
10 MV,330KHZ,37231.9,-2.08997,2.68406e-05,8.93481e-07,37236.1,-1238.1
10 MV,330KHZ,37308.0,-1.92652,2.68063e-05,9.07278e-07,37201.7,-1190.09
10 MV,330KHZ,37231.7,-1.97266,2.67821e-05,9.39878e-07,37298.9,-1288.02
10 MV,330KHZ,37232.3,-1.94161,2.68096e-05,8.89444e-07,37290.8,-1227.0
10 MV,340KHZ,37273.7,-1265.47,2.67904e-05,9.46016e-07,37188.1,-1286.55
10 MV,340KHZ,37339.6,-2.01506,2.68184e-05,9.17422e-07,37270.1,-1318.28
10 MV,340KHZ,37244.7,-1.97204,2.68867e-05,9.7588e-07,37284.0,-1328.84
10 MV,340KHZ,37263.6,-1.96297,2.68747e-05,9.25363e-07,37192.9,-1272.72
10 MV,340KHZ,37262.9,-1.98841,2.68201e-05,8.76847e-07,37233.0,-1282.0
10 MV,340KHZ,37252.5,-2.04023,2.68275e-05,9.37392e-07,37243.5,-1292.34
10 MV,340KHZ,37238.4,-2.02669,2.67879e-05,9.36716e-07,37239.5,-1257.59
10 MV,340KHZ,37314.3,-2.04473,2.67795e-05,8.89282e-07,37299.8,-1296.08
10 MV,350KHZ,37296.7,-2.01107,2.67976e-05,9.44134e-07,37336.2,-1249.49
10 MV,350KHZ,37320.8,-1.98446,2.68262e-05,9.05111e-07,37198.0,-1202.46
10 MV,350KHZ,37318.5,-2.01442,2.68239e-05,9.01239e-07,37194.2,-1255.18
10 MV,350KHZ,37244.8,-1.94267,2.67746e-05,9.10116e-07,37317.9,-1261.83
10 MV,350KHZ,37247.5,-2.01158,2.68056e-05,9.64082e-07,37233.1,-1352.14
10 MV,350KHZ,37296.5,-1.93809,2.67309e-05,9.23373e-07,37233.9,-1242.99
10 MV,350KHZ,37326.1,-1.96264,2.68072e-05,9.3492e-07,37299.2,-1306.29
10 MV,350KHZ,37309.1,-2.07923,2.6813e-05,8.67816e-07,37219.3,-1325.88
10 MV,360KHZ,37288.1,-1.9589,2.68485e-05,9.0656e-07,37259.8,-1235.6
10 MV,360KHZ,37223.1,-2.01594,2.68373e-05,9.14666e-07,37276.7,-1292.17
10 MV,360KHZ,37243.9,-2.00765,2.67752e-05,9.21023e-07,37199.0,-1282.3
10 MV,360KHZ,37281.2,-1.97649,2.67979e-05,9.39569e-07,37220.0,-1293.89
10 MV,360KHZ,37233.3,-2.06254,2.68245e-05,9.14944e-07,37272.7,-1243.78
